nct_id,cohort,type_colorectal_adeno,type_colorectal_nonadeno,type_lung_nsclc_adeno,type_lung_nsclc_large,type_lung_nsclc_squamous,type_lung_sclc,stage_i,stage_ii,stage_iii,stage_iv,stage_sclc_ls,stage_sclc_es,status_newly_diagnosed,status_relapse,status_refractory,marker_alk_oncogene,marker_egfr_mutation,marker_kras_mutation,treatment_radiation,treatment_radiation_exclusion_period_mo,treatment_chemo_systemic,treatment_chemo_systemic_exclusion_period_mo,treatment_chemo_adjuvant,treatment_chemo_adjuvant_exclusion_period_mo,treatment_tki,treatment_tki_exclusion_period_mo
NCT01630733,2,,,include,include,include,,,,,include,,,,,,,require,,,,require,,,,require,
NCT02657434,1,,,include,include,,,,,,include,,,require,,,exclude,exclude,,exclude,6,exclude,6,exclude,6,,
NCT02657434,2,,,include,include,,,,,,include,,,,,,require_alk_or_egfr,require_alk_or_egfr,,,,,,,,,
NCT02578680,1,,,include,include,,,,,,include,,,,,,,,,exclude,6,exclude,1800,,,,
NCT02763579,1,,,,,,include,,,,,,include,,,,,,,,,,,,,,
NCT02654587,1,,,include,include,include,,,,include,include,,,,,,exclude,exclude,,,,,,,,,
NCT02810457,1,,,include,include,,,,,,include,,,,,,exclude,exclude,,,,exclude,1800,,,,
NCT02810457,2,,,include,include,,,include,include,include,,,,,require,,exclude,exclude,,,,exclude,1800,,,,
NCT02775435,1,,,,,include,,,,,include,,,,,,,,,,,exclude,1800,,,,
NCT02414139,1,,,include,include,include,,,,include,include,,,,,,exclude,exclude,,,,require,,,,,
NCT02544633,1,,,include,include,include,,,include,include,include,,,,,,exclude,exclude,,,,require,,,,,
NCT02674568,1,,,,,,include,,,,,,include,,,,,,,,,require,,,,,
NCT02735980,1,,,,,,include,,,,,,include,,,,,,,,,,,,,,
NCT02336451,1,,,include,include,include,,,,,include,,,,,,require,,,,,,,,,,
NCT02450539,1,,,include,include,include,,,,,include,,,,,,,,,,,require,,,,,
NCT02259582,1,,,include,include,,,,,,include,,,,,,exclude,exclude,,exclude,1800,exclude,1800,,,,
NCT02387216,1,,,include,include,include,,,,include,include,,,,,,exclude,exclude,,,,,,,,,
NCT02250326,1,,,include,include,include,,,,,include,,,,,,exclude,exclude,,,,require,,,,,
NCT02659059,1,,,include,include,include,,,,include,include,,,,,,,,,,,,,,,,
NCT02200757,1,,,,,,include,,,,,include,include,,require,,,,,,,,,,,,
NCT02200757,2,,,,,,include,,,,,include,include,,,require,,,,,,,,,,,
NCT02584634,1,,,include,include,include,,,,include,include,,,,require,,exclude,,,,,,,,,,
NCT02584634,2,,,include,include,include,,,,include,include,,,,,require,exclude,,,,,,,,,,
NCT02584634,3,,,include,include,include,,,,include,include,,,,,,require,,,,,,,,,,
NCT02323126,1,,,include,include,include,,,,include,include,,,,,,,require,,,,,,,,require,
